Ax,Ay,Az,Gx,Gy,Gz,Label
0.015,-0.097,1.003,0.573,0.679,0.16,Idle
0.014,-0.095,0.999,0.672,0.878,0.16,Idle
0.018,-0.096,1.004,0.519,0.878,-0.046,Idle
0.015,-0.098,0.998,0.649,0.847,0.176,Idle
0.016,-0.096,0.998,0.634,0.573,0.42,Idle
0.013,-0.098,1.003,0.359,0.756,0.198,Idle
0.017,-0.098,1.004,0.893,0.824,0.275,Idle
0.015,-0.098,1.002,0.473,0.847,0.122,Idle
0.014,-0.096,1.002,0.527,0.878,-0.092,Idle
0.01,-0.098,1.002,0.565,0.718,0.069,Idle
0.016,-0.097,1.005,0.611,0.771,0.221,Idle
0.014,-0.093,0.999,0.557,0.702,0.069,Idle
0.017,-0.096,1.007,0.366,0.809,0.26,Idle
0.016,-0.095,1,0.847,0.832,-0.099,Idle
0.017,-0.094,1.003,0.45,0.847,0.191,Idle
0.01,-0.096,1.003,0.603,0.573,0.275,Idle
0.015,-0.096,1.003,0.656,0.817,0.229,Idle
0.014,-0.096,1.007,0.511,0.947,0.092,Idle
0.015,-0.095,0.999,0.588,0.618,0.183,Idle
0.017,-0.096,1.005,0.695,0.725,0.29,Idle
0.015,-0.093,1.006,0.443,0.947,0.198,Idle
0.015,-0.098,1.004,0.496,0.649,0.076,Idle
0.009,-0.096,1.006,0.473,0.527,0.313,Idle
0.015,-0.095,1,0.611,0.534,0.237,Idle
0.018,-0.094,1.006,0.527,0.802,-0.015,Idle
0.015,-0.094,1.001,0.74,0.725,0.191,Idle
0.014,-0.096,1.005,0.366,0.634,0.145,Idle
0.017,-0.093,1.002,0.489,0.847,0.321,Idle
0.016,-0.093,1.002,0.725,0.817,0.107,Idle
0.011,-0.094,0.996,0.718,0.84,0.015,Idle
0.014,-0.091,1.01,0.611,0.611,0.374,Idle
0.015,-0.098,1.003,0.733,0.771,-0.053,Idle
0.011,-0.095,1.005,0.725,0.74,0.137,Idle
0.016,-0.095,0.999,0.618,0.779,0.153,Idle
0.014,-0.093,1.005,0.427,0.786,0.183,Idle
0.014,-0.097,1.002,0.618,0.817,0.305,Idle
0.017,-0.096,0.998,0.649,0.794,0.244,Idle
0.013,-0.096,1.003,0.412,0.786,0.374,Idle
0.01,-0.094,1.001,0.534,0.939,0.366,Idle
0.015,-0.095,0.997,0.786,0.908,-0.038,Idle
0.014,-0.095,1.002,0.443,0.908,0,Idle
0.018,-0.098,0.999,0.74,0.809,0.45,Idle
0.018,-0.096,1.005,0.527,0.824,0.237,Idle
0.02,-0.094,1,0.519,0.847,0.153,Idle
0.019,-0.097,1.01,0.496,0.885,0.053,Idle
0.016,-0.095,1.009,0.496,0.641,0.26,Idle
0.013,-0.096,1.004,0.489,0.84,0.504,Idle
0.012,-0.093,1.008,0.55,0.809,0.443,Idle
0.016,-0.096,1.002,0.588,0.748,0.321,Idle
0.016,-0.097,1.003,0.977,0.664,0.16,Idle
0.011,-0.094,1,0.649,0.809,0.427,Idle
0.017,-0.096,0.999,0.817,0.924,0.183,Idle
0.016,-0.098,0.998,0.74,0.595,-0.008,Idle
0.017,-0.096,0.998,0.656,0.779,0.252,Idle
0.015,-0.094,1,0.656,0.809,0.229,Idle
0.014,-0.095,1.009,0.748,0.885,0.099,Idle
0.016,-0.093,1.01,0.29,0.679,0.069,Idle
0.015,-0.093,1.001,0.649,0.855,0.252,Idle
0.012,-0.097,1.002,0.496,0.733,0.458,Idle
0.015,-0.099,1.008,0.443,0.603,0.359,Idle
0.015,-0.096,1.004,0.55,0.756,0.084,Idle
0.012,-0.093,1.007,0.435,1.053,0.527,Idle
0.018,-0.094,1.006,0.504,0.588,0.26,Idle
0.018,-0.093,1.012,0.641,0.74,0.252,Idle
0.014,-0.098,1.007,0.489,0.824,0.344,Idle
0.021,-0.098,1.002,0.519,0.71,0.427,Idle
0.016,-0.097,1.006,0.687,0.718,0.298,Idle
0.018,-0.095,1.005,0.466,0.626,0,Idle
0.019,-0.099,1.004,0.412,0.618,-0.038,Idle
0.013,-0.095,1.006,0.29,0.863,0.405,Idle
0.016,-0.096,1.004,0.649,0.71,0.458,Idle
0.013,-0.097,0.993,0.427,0.817,0.275,Idle
0.016,-0.093,1.001,0.573,0.504,0.122,Idle
0.014,-0.101,1.008,0.511,0.802,0.137,Idle
0.014,-0.097,1.006,0.511,0.786,0.137,Idle
0.016,-0.099,1.001,0.687,0.542,0.282,Idle
0.01,-0.095,1,0.534,0.763,0.336,Idle
0.011,-0.093,0.998,0.641,0.863,0.42,Idle
0.014,-0.095,1.003,0.618,0.649,0.183,Idle
0.014,-0.094,1.007,0.42,0.496,0.206,Idle
0.014,-0.098,0.998,0.618,0.672,0.244,Idle
0.014,-0.096,1.001,0.656,0.779,0.26,Idle
0.016,-0.096,1.004,0.626,0.809,0.313,Idle
0.015,-0.095,1.001,0.634,0.847,0.153,Idle
0.012,-0.095,1.005,0.71,0.809,0.229,Idle
0.013,-0.096,1.001,0.511,0.893,0.374,Idle
0.013,-0.097,1.005,0.74,0.718,0.282,Idle
0.013,-0.09,1,0.664,0.672,0.244,Idle
0.015,-0.095,1,0.649,0.603,0.015,Idle
0.015,-0.094,1.01,0.725,0.695,0.252,Idle
0.014,-0.094,1.001,0.679,0.847,0.282,Idle
0.015,-0.099,1.003,0.458,0.863,-0.16,Idle
0.014,-0.093,1,0.496,0.634,0.26,Idle
0.015,-0.098,1.005,0.626,1.13,0.191,Idle
0.017,-0.094,1.004,0.26,0.733,0.328,Idle
0.012,-0.095,1.01,0.45,0.969,0.046,Idle
0.014,-0.095,0.997,0.336,0.893,0.374,Idle
0.014,-0.095,1.006,0.496,0.901,0.153,Idle
0.011,-0.094,1.004,0.809,0.771,0.405,Idle
0.015,-0.096,1.002,0.466,0.779,0.252,Idle
0.017,-0.096,1.002,0.466,0.695,0.191,Idle
0.012,-0.098,1.001,0.649,0.779,0.366,Idle
0.012,-0.095,1.008,0.733,0.71,0.282,Idle
0.013,-0.092,1.004,0.71,0.725,0.351,Idle
0.015,-0.1,0.996,0.443,0.626,0.252,Idle
0.016,-0.098,1.004,0.519,0.809,0.061,Idle
0.018,-0.101,1.002,0.573,0.595,0.237,Idle
0.012,-0.097,1.003,0.595,0.534,0.13,Idle
0.014,-0.095,0.999,0.58,0.794,0.328,Idle
0.015,-0.097,1,0.618,0.763,0.26,Idle
0.012,-0.094,1.005,0.489,0.771,0.427,Idle
0.018,-0.095,1.001,0.344,0.992,0.412,Idle
0.016,-0.1,0.998,0.565,0.634,-0.061,Idle
0.014,-0.095,1.007,0.282,0.87,0.198,Idle
0.014,-0.096,1.001,0.649,1.061,-0.015,Idle
0.016,-0.096,1.007,0.366,0.931,0.214,Idle
0.014,-0.098,1.01,0.557,0.763,0.244,Idle
0.014,-0.095,1.002,0.573,0.809,0.298,Idle
0.015,-0.097,1.006,0.473,0.908,0.107,Idle
0.015,-0.095,1.004,0.687,0.672,0.191,Idle
0.013,-0.097,0.985,0.496,0.725,0,Idle
0.014,-0.101,0.996,0.58,0.626,0.267,Idle
0.019,-0.096,1.004,0.473,0.794,0.359,Idle
0.012,-0.098,1.001,0.496,0.809,0.221,Idle
0.013,-0.1,1.01,0.557,0.557,0.252,Idle
0.018,-0.098,1.007,0.824,0.954,0.328,Idle
0.015,-0.097,1.005,0.595,0.634,0.374,Idle
0.012,-0.093,0.999,0.718,0.74,0.107,Idle
0.013,-0.094,0.999,0.626,0.542,0.053,Idle
0.013,-0.099,1.008,0.679,0.947,0.153,Idle
0.013,-0.095,1.002,0.481,0.672,0.069,Idle
0.012,-0.092,1,0.672,0.58,0.275,Idle
0.014,-0.098,0.999,0.802,0.595,0.092,Idle
0.016,-0.094,1.004,0.664,0.802,0.389,Idle
0.013,-0.099,0.998,0.649,0.634,0.13,Idle
0.011,-0.095,1,0.832,0.771,0.344,Idle
0.018,-0.094,1.013,0.664,0.802,0.435,Idle
0.015,-0.099,1.003,0.656,0.634,0.122,Idle
0.015,-0.096,0.998,0.74,0.947,0.053,Idle
0.016,-0.097,1.01,0.527,0.817,0.374,Idle
0.014,-0.097,0.997,0.603,0.55,0.122,Idle
0.016,-0.094,1.004,0.672,0.924,0.374,Idle
0.011,-0.094,1.004,0.725,0.527,0.221,Idle
0.014,-0.094,1.004,0.55,0.824,0.084,Idle
0.015,-0.093,1,0.466,0.847,0.298,Idle
0.014,-0.096,1,0.542,0.603,0.405,Idle
0.016,-0.101,1.006,0.878,0.725,0.366,Idle
0.014,-0.093,1.007,0.595,0.794,0.443,Idle
0.008,-0.097,1.005,0.679,0.87,0.397,Idle
0.015,-0.097,0.998,0.626,0.756,-0.099,Idle
0.012,-0.097,1.003,0.519,0.71,0.099,Idle
0.018,-0.098,1.002,0.481,0.763,0.183,Idle
0.014,-0.097,1.006,0.427,0.855,0.511,Idle
0.012,-0.098,0.999,0.573,0.863,0.16,Idle
0.021,-0.096,1.005,0.55,0.74,0.137,Idle
0.014,-0.099,1.009,0.519,0.733,0.153,Idle
0.015,-0.099,1.004,0.595,0.55,0.321,Idle
0.015,-0.099,1,0.603,0.878,0.221,Idle
0.014,-0.097,1.005,0.252,0.695,0.183,Idle
0.015,-0.096,1.004,0.802,0.992,0.183,Idle
0.016,-0.094,1.002,0.656,0.847,0.107,Idle
0.013,-0.098,0.998,0.504,0.87,0.481,Idle
0.017,-0.096,1.005,0.55,0.687,0.214,Idle
0.015,-0.095,1.005,0.42,0.916,0.252,Idle
0.008,-0.098,1,0.71,0.702,0.313,Idle
0.01,-0.094,0.998,0.672,0.695,0.237,Idle
0.013,-0.098,1.006,0.527,0.786,0.191,Idle
0.017,-0.095,1.005,0.672,0.855,0.237,Idle
0.015,-0.097,1.001,0.473,0.702,0.015,Idle
0.009,-0.093,1.003,0.366,0.763,0.458,Idle
0.013,-0.099,1.006,0.725,0.687,0.023,Idle
0.015,-0.098,1.01,0.618,0.74,0.153,Idle
0.013,-0.095,0.998,0.55,0.71,0.198,Idle
0.012,-0.096,1.001,0.679,0.74,0.237,Idle
0.011,-0.099,1.003,0.542,0.702,0.122,Idle
0.013,-0.098,0.997,0.603,0.626,0.107,Idle
0.01,-0.095,1.005,0.603,0.664,0.344,Idle
0.015,-0.099,1.006,0.756,0.733,0.237,Idle
0.013,-0.098,1.001,0.603,0.672,0.046,Idle
0.017,-0.096,1.01,0.618,0.71,0.168,Idle
0.019,-0.094,1.007,0.519,0.603,0.405,Idle
0.014,-0.097,0.999,0.885,0.985,0.046,Idle
0.015,-0.096,1.003,0.504,0.74,0.336,Idle
0.014,-0.1,1.001,0.412,0.725,0.244,Idle
0.018,-0.098,0.999,0.656,0.656,0.496,Idle
0.016,-0.096,1.002,0.611,0.809,0.275,Idle
0.016,-0.096,1.006,0.397,0.679,0.168,Idle
0.011,-0.095,1.003,0.794,0.817,0.122,Idle
0.017,-0.094,1.002,0.58,0.725,0.069,Idle
0.011,-0.094,0.999,0.84,0.718,0.26,Idle
0.015,-0.095,0.99,0.702,0.786,0.427,Idle
0.011,-0.099,0.993,0.672,0.908,0.351,Idle
0.015,-0.094,1.007,0.565,0.672,0.527,Idle
0.014,-0.099,1.007,0.58,0.603,0.046,Idle
0.014,-0.095,1.004,0.359,0.725,0.168,Idle
0.015,-0.097,1.001,0.626,0.656,0.321,Idle
0.012,-0.097,1.002,0.733,0.901,0.122,Idle
0.011,-0.098,1.003,0.489,0.611,0.145,Idle
0.012,-0.102,0.999,0.672,0.908,0.015,Idle
0.015,-0.095,1.005,0.649,0.878,0.313,Idle
0.017,-0.101,1.003,0.626,0.641,0.427,Idle
0.015,-0.097,1.008,0.634,0.733,0.092,Idle
0.011,-0.096,1.002,0.756,0.672,0.443,Idle
0.012,-0.092,1.002,0.58,0.656,0.168,Idle
0.016,-0.095,1.007,0.489,0.756,0.198,Idle
0.01,-0.097,0.995,0.84,0.733,0.115,Idle
0.015,-0.095,1.001,0.695,0.855,0.046,Idle
0.011,-0.097,1.005,0.649,0.588,-0.031,Idle
0.017,-0.095,1.004,0.565,1.023,0.214,Idle
0.015,-0.102,1.001,0.397,0.885,0.122,Idle
0.014,-0.092,0.997,0.527,0.878,-0.137,Idle
0.013,-0.098,0.998,0.565,0.672,0.252,Idle
0.015,-0.096,1.004,0.504,0.893,0.328,Idle
0.013,-0.095,0.999,0.519,0.718,0.42,Idle
0.016,-0.096,1.006,0.427,0.733,0.16,Idle
0.013,-0.097,0.999,0.603,0.718,0.038,Idle
0.011,-0.099,1.009,0.695,0.893,0.496,Idle
0.016,-0.102,0.999,0.519,0.771,0.145,Idle
0.013,-0.092,1,0.542,0.84,0.237,Idle
0.014,-0.098,1.006,0.527,0.779,0.244,Idle
0.014,-0.095,1,0.58,0.939,0.092,Idle
0.015,-0.097,1.001,0.595,0.733,0.321,Idle
0.013,-0.095,1.009,0.557,0.565,-0.015,Idle
0.011,-0.095,1.006,0.527,0.656,0.42,Idle
0.012,-0.096,0.999,0.519,0.748,0.191,Idle
0.015,-0.097,1.005,0.611,0.71,0.496,Idle
0.015,-0.101,1.005,0.885,0.527,0.107,Idle
0.014,-0.099,1.007,0.496,0.893,0.252,Idle
0.019,-0.096,1.002,0.527,0.786,0.298,Idle
0.014,-0.098,1.001,0.634,0.756,0.191,Idle
0.019,-0.096,1.006,0.519,0.618,0.229,Idle
0.014,-0.095,0.998,0.489,0.748,0.206,Idle
0.012,-0.098,0.996,0.573,0.786,0.267,Idle
0.015,-0.1,1.001,0.603,0.527,0.405,Idle
0.017,-0.1,1,0.519,0.687,0.092,Idle
0.014,-0.098,1.003,0.74,0.695,0.214,Idle
0.012,-0.093,1,0.58,0.71,0.55,Idle
0.015,-0.1,1.008,0.359,0.702,0.275,Idle
0.016,-0.095,1.012,0.359,0.664,0.176,Idle
0.01,-0.096,1.011,0.634,0.947,0.267,Idle
0.012,-0.099,1.002,0.756,0.71,0.183,Idle
0.016,-0.095,1.004,0.511,0.924,0.344,Idle
0.013,-0.094,0.997,0.672,0.626,0.244,Idle
0.017,-0.095,1.002,0.534,0.71,0.382,Idle
0.014,-0.097,1.002,0.55,0.916,0.076,Idle
0.018,-0.101,1.005,0.458,0.908,0.252,Idle
0.013,-0.098,1,0.603,0.71,0.397,Idle
0.011,-0.091,1.008,0.74,0.786,0.229,Idle
